Catalog,Type,GaiaDR3,RA,DEC,Gmag,Bp-Rp,Voff(km/s),Sep(deg),3D(pc),Vr(pred),Vr(obs),Vrerr,Plx(mas),SpT,FnuvJ,W1-W3,RUWE,XCrate,RVsrc,PMRApred,PMDecpred,PMRA,PMRAerr,PMDec,PMDecerr
Gaia,DR3,6220602384081327104,215.1227582,-31.2020699,10.863,0.625,0.0,0.0,0.0,-26.61,-26.61,0.78,2.776,,,,1.071,,Gaia_DR3,-21.786,-0.906,-21.786,0.022,-0.906,0.019
Gaia,DR3,6219497851636189056,216.5328506,-32.3864472,19.243,2.997,2.87,1.6849,11.3278,-27.34,,,2.747,,,,1.127,,,-21.212,-1.497,-19.867,0.477,-0.521,0.326
Gaia,DR3,6220675359869238784,214.7438281,-30.7818488,16.162,2.193,1.848,0.5311,12.8972,-26.41,,,2.876,,,,1.009,,,-22.661,-0.744,-22.471,0.073,-1.848,0.064
Gaia,DR3,6219549704777275392,216.2083801,-32.1720067,16.058,2.017,2.334,1.3394,14.8675,-27.18,,,2.686,,,,1.054,,,-20.818,-1.343,-20.319,0.05,-2.567,0.045
Gaia,DR3,6220868706414137344,215.6530514,-29.5810398,14.401,1.137,2.872,1.6843,16.3929,-26.95,-43.03,7.24,2.878,,,,17.112,,Gaia_DR3,-22.447,-0.585,-23.864,0.375,-1.597,0.37
Gaia,DR3,6123670259313992448,215.4524534,-32.2150383,16.216,2.197,2.309,1.0511,18.1439,-26.76,,,2.914,,,,2.784,,,-22.779,-1.31,-21.364,0.149,-1.415,0.152
Gaia,DR3,6220650036741971584,215.3012052,-30.8331752,17.453,2.645,1.041,0.3993,18.225,-26.72,,,2.923,,,,0.967,,,-22.891,-0.885,-23.532,0.116,-0.875,0.097
Gaia,DR3,6220886844059179648,214.4742632,-30.3903091,11.954,0.731,1.986,0.9845,22.4494,-26.27,-22.41,0.62,2.62,,,,0.819,,Gaia_DR3,-20.703,-0.529,-19.668,0.015,-0.889,0.015
Gaia,DR3,6120263594334807424,216.7408298,-33.8705006,17.525,2.312,1.344,2.9968,25.1065,-27.38,,,2.915,,,,0.976,,,-22.453,-2.069,-21.631,0.119,-1.996,0.102
Gaia,DR3,6173047024416216960,211.4540879,-30.4033213,19.443,2.656,2.96,3.2506,25.2559,-24.54,,,2.671,,,,1.079,,,-21.762,0.03,-23.304,0.469,0.662,0.468
Gaia,DR3,6124802928090884864,214.3301213,-30.6546019,19.497,2.694,2.269,0.8729,25.5489,-26.18,,,2.597,,,,0.977,,,-20.553,-0.564,-20.758,0.409,0.661,0.377
Gaia,DR3,6119816196181673600,214.9006063,-34.6155067,18.536,2.761,1.411,3.4185,26.5357,-26.36,,,2.907,,,,1.515,,,-22.869,-1.869,-22.004,0.356,-1.873,0.288
Gaia,DR3,6270169158535099904,212.2756126,-28.0974693,17.141,2.904,2.017,3.9696,27.34,-25.0,,,2.873,,,,1.059,,,-23.223,0.473,-23.329,0.111,1.69,0.087
Gaia,DR3,6269434371233943424,213.6896662,-28.5315165,19.084,2.967,1.135,2.9455,29.9011,-25.83,,,2.61,,,,1.026,,,-20.796,0.078,-20.957,0.361,0.682,0.301
